Episode,Mean Q-Value
0,9.342935e-05
1,0.00034163907
2,0.00024257744
3,0.00042597324
4,0.0006764606
5,0.0010690392
6,0.0011234949
7,0.0012261008
8,0.0012301785
9,0.0012500212
10,0.001277916
11,0.0013547349
12,0.001377115
13,0.0013922179
14,0.0014063426
15,0.0014378339
16,0.0014459955
17,0.0014531616
18,0.0014563841
19,0.0014591598
20,0.0014927052
21,0.0015051462
22,0.0015245341
23,0.0015446864
24,0.0015506232
25,0.0015573609
26,0.0015674311
27,0.0015619997
28,0.0015924802
29,0.0015883786
30,0.0016175075
31,0.0016429595
32,0.0016554272
33,0.0016619166
34,0.0016585555
35,0.0016718837
36,0.0016776155
37,0.0016845064
38,0.0016899597
39,0.0017015355
40,0.0017067222
41,0.0017102618
42,0.0017131887
43,0.0017092737
44,0.001725301
45,0.0017255303
46,0.0017383253
47,0.0017374074
48,0.001740037
49,0.0017417395
